K,nvtx,pileup_ratio
M,0,0.
M,1,0.360609416811339
M,2,0.910848525427002
M,3,1.20629960507795
M,4,0.965997726573782
M,5,1.10708082813183
M,6,1.14843491548622
M,7,0.786526251164482
M,8,0.490577792661333
M,9,0.740680941110478
M,10,0.884048630953726
M,11,0.964813189764159
M,12,1.07045369167689
M,13,1.12497267309738
M,14,1.17367530613108
M,15,1.20239808206413
M,16,1.20815108390021
M,17,1.20049333094509
M,18,1.18284686347315
M,19,1.14408796655615
M,20,1.0962284704313
M,21,1.06549162803223
M,22,1.05151011089581
M,23,1.05159666626121
M,24,1.05064452078328
M,25,1.0491726301522
M,26,1.05772537082991
M,27,1.07279673875566
M,28,1.0837536468865
M,29,1.09536667397119
M,30,1.10934472980173
M,31,1.09375894592864
M,32,1.08263679568271
M,33,1.04289345879947
M,34,0.9851490341672
M,35,0.909983816540809
M,36,0.821346330143864
M,37,0.71704523475871
M,38,0.609800913869359
M,39,0.502935245638477
M,40,0.405579825620816
M,41,0.309696044611377
M,42,0.228191137503131
M,43,0.163380359253309
M,44,0.113368437957202
M,45,0.0772279997453792
M,46,0.0508111733313502
M,47,0.0319007262683943
M,48,0.0200879459309245
M,49,0.0122753366005436
M,50,0.00739933885813127
M,51,0.00437426967257811
M,52,0.00260473545284139
M,53,0.00157047254226743
M,54,0.000969500595715493
M,55,0.000733193118123283
M,56,0.000669817107713128
M,57,0.000728548958604492
M,58,0.000934559691182011
M,59,0.00133719688378802
M,60,0.00186652283903214
M,61,0.00314422244976771
M,62,0.00406954793369611
M,63,0.00467888840511915
M,64,0.00505224284441512
M,65,0.00562827194936864
M,66,0.0055889504870752
M,67,0.00522867039470319
M,68,0.00450752163476433
M,69,0.00395300774604375
M,70,0.00330577167682956
M,71,0.00308353042577215
M,72,0.00277846504893301
M,73,0.00223943190687725
M,74,0.00196650068765464
M,75,0.00184742734258922
K,1,0.3660772
K,2,0.8939251
K,3,1.197716
K,4,0.9626994
K,5,1.120976
K,6,1.164859
K,7,0.7955991
K,8,0.4958243
K,9,0.7421819
K,10,0.8788561
K,11,0.9642317
